Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
3146,104,8,42,4,930,234,230,129,2083,Rawah,7202
2975,352,2,331,23,4484,216,236,157,5580,Rawah,4744
3009,7,8,150,15,3784,211,225,151,2282,Rawah,7745
2939,206,22,216,8,2355,200,254,180,1565,Commanche,4758
3064,22,10,30,3,1361,214,218,140,1712,Commanche,7102
3460,305,32,60,26,2932,115,203,219,2118,Rawah,8776
3031,338,13,499,-89,1852,192,222,168,2173,Commanche,7756
2772,170,7,319,42,2721,225,243,152,1978,Commanche,4704
2560,89,10,218,34,731,235,224,120,3505,Rawah,7745
2861,166,18,391,73,1531,232,244,136,1556,Commanche,4704
2392,300,32,362,150,711,114,207,224,376,Cache,4703
3232,21,12,150,17,5474,212,213,137,618,Rawah,7201
3234,167,13,228,47,2165,230,244,144,1718,Commanche,7756
3131,48,6,218,33,5176,223,227,140,3282,Rawah,7201
3214,280,13,604,119,3247,183,241,198,1057,Commanche,7756
2827,322,11,108,23,2252,192,229,177,2160,Rawah,7745
2939,47,16,661,-45,886,224,202,108,547,Commanche,7757
3126,267,15,0,0,488,181,245,202,2170,Neota,7201
3026,181,19,1132,167,3099,223,248,150,1316,Commanche,7757
2808,84,12,469,46,1639,237,220,113,1140,Rawah,4744
2851,343,9,255,48,2227,202,226,163,2042,Rawah,4744
2436,87,30,124,47,765,247,175,35,1180,Commanche,2705
3236,135,16,671,120,2433,243,232,113,2568,Commanche,7757
2787,66,5,361,50,1594,225,230,141,2501,Rawah,7745
3085,32,8,210,12,1434,219,224,141,2988,Commanche,7755
2819,13,13,212,58,2177,207,212,141,1107,Commanche,7757
2939,317,11,134,14,4841,191,231,179,2117,Rawah,7745
2874,80,11,351,86,1441,235,220,116,1529,Commanche,4704
2646,143,10,60,12,745,234,238,134,1698,Rawah,7745
3290,158,5,400,187,4174,226,241,149,1342,Rawah,7745
3218,94,3,190,13,2865,224,234,145,5023,Rawah,8772
3205,23,4,331,10,987,218,231,151,1282,Neota,7756
2847,56,14,190,71,2671,228,209,111,2835,Rawah,4744
2705,17,12,124,20,2432,210,214,140,594,Commanche,4703
3106,198,21,408,58,2510,208,253,170,3143,Commanche,7757
2742,131,9,150,23,2486,235,235,132,1834,Rawah,4744
2549,313,11,255,-5,2489,189,231,182,2506,Commanche,4704
3323,90,6,30,0,1168,230,230,134,1296,Neota,8771
3222,57,11,457,13,5399,228,216,120,1384,Rawah,7202
2421,277,28,201,72,277,133,232,232,242,Commanche,4703
2988,6,18,190,55,661,195,201,140,1784,Commanche,7700
2734,75,21,30,10,2624,240,195,75,2120,Commanche,7700
2980,114,32,120,-27,967,254,190,36,1433,Commanche,7757
3017,51,24,192,92,2538,223,180,78,2177,Commanche,7757
3155,21,26,277,83,3296,194,177,109,1537,Commanche,7755
2745,68,20,228,32,2820,236,195,81,6483,Rawah,4744
2841,80,18,323,93,2455,241,205,88,366,Commanche,4703
3250,322,17,285,28,4554,176,222,185,750,Commanche,7756
3397,181,9,474,197,2539,223,246,156,721,Commanche,7756
3041,85,9,277,37,5527,233,225,124,4243,Rawah,7745
2879,217,14,1036,101,2430,204,253,182,1478,Commanche,7790
3260,218,15,0,0,2504,202,253,184,514,Commanche,8772
2954,246,16,190,65,2192,185,251,202,1332,Commanche,7757
2879,5,19,30,9,170,192,199,140,2077,Rawah,7202
2978,90,1,430,61,5444,221,236,151,2614,Rawah,7746
3035,221,11,85,-22,2257,207,250,179,930,Commanche,7755
3315,184,26,745,45,4031,216,247,148,1624,Commanche,7757
3119,264,9,85,11,1173,197,245,186,1490,Commanche,7202
3140,83,19,150,20,2949,243,205,85,2995,Commanche,7700
3257,38,14,108,26,1732,219,209,122,2763,Rawah,7745
3234,68,18,120,31,4752,236,200,89,216,Rawah,7201
3021,21,25,283,162,534,196,180,110,2911,Commanche,7700
3088,194,10,339,58,4932,218,249,164,1740,Rawah,7745
2946,104,12,42,1,5340,240,225,114,2177,Rawah,7202
2965,315,7,283,56,5202,201,234,172,4315,Rawah,7745
2985,98,16,175,3,4328,245,215,94,3623,Rawah,7745
3254,62,22,474,110,1463,232,188,77,4953,Neota,7201
3849,13,16,850,73,4384,203,205,136,2448,Commanche,8776
2542,255,16,283,35,752,182,249,204,1201,Cache,2717
2934,92,9,182,37,3893,234,227,124,5159,Rawah,7746
3396,176,10,966,157,2942,226,246,152,1749,Commanche,8771
2686,66,10,108,23,1986,230,219,121,6934,Rawah,7745
3074,70,12,362,-28,1006,233,215,112,882,Rawah,7201
3247,161,16,351,45,2664,234,242,134,1191,Commanche,7757
2720,245,4,162,-6,1595,212,243,169,3931,Rawah,4744
3494,13,17,390,211,1206,202,204,136,1708,Neota,8776
3139,93,15,402,95,4029,242,216,100,2746,Rawah,7746
3265,196,7,430,39,5622,219,246,162,1376,Rawah,7201
2463,87,12,511,107,666,238,220,111,1034,Cache,2717
3066,89,11,180,19,4413,236,223,117,2522,Rawah,7745
2625,242,4,0,0,679,213,242,167,1360,Commanche,7202
3148,26,9,458,40,1865,216,220,140,3491,Commanche,7755
2516,78,17,255,21,470,240,207,93,1289,Commanche,2705
2930,4,11,708,55,732,206,220,151,1116,Commanche,7755
3004,33,20,216,22,4992,212,191,107,2992,Rawah,7745
2960,22,12,335,81,1493,212,214,137,2549,Commanche,7757
2978,266,3,330,13,5038,211,241,167,5608,Rawah,7101
3176,4,16,824,159,1830,198,208,146,2458,Commanche,7700
2880,111,28,30,-11,592,254,196,49,598,Rawah,7201
2893,31,12,418,51,2614,216,213,131,1120,Commanche,7755
2689,320,26,85,39,2136,144,205,196,2568,Rawah,7745
2996,186,11,150,10,1948,222,248,158,3887,Rawah,7202
2597,55,13,300,66,170,228,212,115,1230,Rawah,7745
2863,33,13,360,21,2580,217,212,128,977,Commanche,7755
3303,40,11,446,80,4440,221,216,129,1931,Commanche,7201
2798,165,14,162,45,3242,231,244,141,2992,Rawah,4744
3396,108,8,604,163,1914,235,231,128,1734,Rawah,8703
2800,57,15,150,25,1672,229,207,108,2541,Commanche,7702
2812,304,22,256,87,2616,152,222,207,242,Commanche,7757
3205,270,8,497,59,6035,200,243,182,2601,Rawah,7201
3092,290,29,210,61,2839,128,222,228,2644,Rawah,7700
3159,45,9,162,17,3287,223,221,133,4140,Rawah,7202
2964,97,14,67,11,4645,242,218,102,3142,Rawah,7745
3316,342,8,0,0,3046,203,228,164,2120,Rawah,8771
2946,96,7,309,20,1797,232,229,129,1315,Commanche,7202
3507,82,20,953,222,2553,243,200,77,1087,Rawah,8776
2874,308,16,175,17,2550,176,229,193,2322,Commanche,7700
3136,44,14,433,62,1917,222,210,119,2537,Commanche,7756
2718,8,5,60,4,1142,214,230,153,1856,Rawah,4744
3037,13,10,30,-6,3736,210,219,145,2713,Rawah,7202
2942,81,11,150,-1,4871,235,219,114,450,Rawah,7746
2980,17,16,150,29,4022,206,206,134,1075,Rawah,7745
2572,318,22,150,56,976,156,213,195,485,Commanche,7757
3079,203,9,90,-21,2163,216,248,167,3632,Rawah,7202
2273,117,16,42,9,216,245,224,103,323,Cache,4704
3048,1,10,268,25,4656,206,222,153,1031,Rawah,7745
3109,72,18,60,-7,4823,237,202,89,2936,Rawah,7745
2647,11,1,95,-1,509,217,236,156,1405,Rawah,4744
3124,85,13,319,-59,1907,239,217,106,1571,Rawah,7745
2063,81,9,30,0,514,232,225,125,192,Cache,2704
3426,318,7,1041,176,1266,202,234,172,1860,Commanche,8771
3132,113,12,182,19,3800,240,228,117,3007,Rawah,7745
3051,102,21,0,0,713,250,207,75,832,Rawah,7745
2795,36,8,0,0,1006,220,221,137,2197,Commanche,7700
3312,264,19,390,83,3342,170,245,212,1360,Commanche,7756
3088,39,3,42,0,3946,220,232,149,1158,Rawah,7201
3242,38,13,277,18,1511,219,210,123,2372,Rawah,7745
3099,34,9,30,3,2885,219,221,138,2125,Commanche,7202
2770,194,23,430,104,3396,210,251,164,1673,Commanche,4758
2965,214,12,120,23,3151,209,251,177,1273,Commanche,4758
3235,155,29,799,354,1190,239,227,96,2770,Rawah,7745
3192,338,13,120,14,1018,192,222,168,767,Neota,7700
2273,357,12,30,3,658,201,218,155,698,Cache,2705
2998,72,7,201,6,3034,228,227,133,1872,Rawah,7745
3028,136,13,90,-1,976,240,235,122,942,Rawah,7745
2991,169,13,390,69,5559,230,245,144,3012,Rawah,7745
3098,75,9,30,7,2103,232,223,123,1965,Rawah,7202
2369,70,17,366,148,573,236,204,93,1752,Cache,2717
2793,160,23,552,159,2644,236,238,118,2021,Commanche,2705
2990,115,37,85,-17,979,253,177,16,1471,Commanche,7757
3201,215,9,300,24,2532,211,249,173,1048,Rawah,7201
2724,17,21,42,2,1350,197,191,124,1604,Commanche,7755
3309,13,17,67,-6,1470,202,204,136,1756,Neota,7202
3038,135,5,108,-1,3323,228,238,144,1033,Commanche,7756
3282,345,17,492,156,3723,185,212,164,3631,Commanche,8776
2874,347,11,553,113,1180,198,222,162,2659,Commanche,4704
2314,330,16,467,131,1273,179,218,177,1142,Cache,2717
2998,99,10,270,33,5199,236,227,121,5991,Rawah,4744
2900,253,27,30,14,6157,150,246,227,4718,Rawah,7700
2949,43,8,190,13,3758,222,223,136,6092,Rawah,7745
2700,29,5,390,-12,1057,218,229,147,1722,Rawah,4744
3200,326,17,552,63,2174,176,219,182,679,Commanche,7202
2694,43,11,351,8,1121,222,215,126,2002,Rawah,4744
2649,16,8,0,0,594,214,224,147,1500,Rawah,7202
2797,101,14,67,15,960,243,220,103,2227,Commanche,4704
3417,253,6,1106,181,1302,207,244,175,1878,Commanche,8771
3316,132,20,258,81,3082,248,225,97,3144,Commanche,8772
2745,113,32,120,48,1146,254,189,36,1208,Commanche,4758
2915,322,3,218,22,371,212,236,162,492,Commanche,7201
2743,8,14,192,39,2820,203,212,145,661,Commanche,4703
2879,108,8,342,0,973,233,232,130,2599,Commanche,7756
3232,104,12,175,0,4561,241,224,111,2259,Rawah,7202
3076,45,2,30,0,816,220,234,151,1749,Rawah,7202
3120,57,29,404,85,751,225,166,55,1723,Rawah,7745
2621,196,18,170,57,1291,213,252,167,1358,Commanche,2704
2771,105,7,175,28,2805,232,232,133,5796,Rawah,4744
3093,139,9,256,-12,659,234,238,135,1454,Rawah,7202
3018,2,16,124,20,127,195,207,148,764,Rawah,7201
2216,336,29,234,133,765,142,186,174,999,Cache,4703
2959,277,11,395,43,5224,190,242,191,1973,Rawah,7745
3021,131,14,467,22,5284,242,231,115,3077,Rawah,7746
2471,174,5,30,-3,1047,223,242,155,902,Commanche,2705
2952,105,5,371,-9,4179,229,233,138,2155,Rawah,7202
3004,37,16,162,19,552,218,203,117,1789,Rawah,7745
3005,162,10,268,38,4416,230,243,144,1937,Rawah,7746
3528,190,5,258,94,2848,220,244,159,2003,Rawah,8776
3164,55,12,408,19,1861,227,215,119,2982,Rawah,7745
3073,50,17,283,57,1820,226,201,103,3634,Commanche,7700
3053,35,13,984,234,1179,218,211,126,2432,Commanche,7756
2820,359,10,124,18,1149,205,221,154,2821,Commanche,7755
3225,283,18,421,51,702,166,238,210,726,Neota,7202
3316,107,11,524,121,379,239,226,116,558,Neota,7756
3068,304,7,85,11,1587,200,236,176,1976,Commanche,7202
3088,85,15,201,39,3348,240,213,99,808,Rawah,7745
3259,62,14,256,44,1855,231,211,109,2376,Rawah,8772
3461,0,0,626,122,1758,218,238,156,1302,Commanche,8776
3260,103,3,124,8,6331,225,235,145,301,Rawah,7201
2582,338,4,212,35,488,210,233,162,932,Commanche,4704
2673,85,15,60,4,1388,241,212,97,811,Rawah,7202
2606,8,17,240,72,1410,197,203,140,1643,Commanche,4703
3430,60,26,95,33,2484,230,175,62,3667,Rawah,8772
3105,156,21,1019,158,3241,239,237,117,1939,Commanche,7757
3136,111,17,424,113,2892,247,220,96,1266,Commanche,7757
2791,99,5,242,13,3046,228,233,140,6546,Rawah,4744
2943,172,9,258,31,4710,226,245,151,2692,Rawah,7746
3257,351,14,912,66,3778,195,215,158,2526,Rawah,8771
3187,212,13,108,4,2202,208,252,177,684,Commanche,7756
2931,82,5,42,2,1862,227,231,138,1747,Rawah,7745
3199,208,11,362,0,3006,212,250,172,90,Commanche,7756
2915,106,6,0,0,895,231,232,135,2162,Rawah,7202
2700,334,23,124,-33,1606,161,203,178,2753,Rawah,7745
3064,106,15,212,-5,4175,244,221,102,2597,Rawah,7745
2983,50,7,319,16,4710,224,225,136,1577,Rawah,7101
3268,3,17,228,45,3185,195,205,145,3333,Commanche,7700
2993,38,9,362,55,1087,221,221,135,2218,Rawah,7745
2837,165,17,258,14,720,233,243,135,458,Rawah,7746
3169,24,11,150,32,1651,214,216,137,216,Rawah,7201
3041,212,15,30,0,607,206,253,179,553,Commanche,7202
3198,250,9,234,20,649,201,247,184,942,Neota,7756
1985,23,17,0,0,295,207,201,125,458,Cache,2702
2652,144,13,295,-29,1165,238,237,127,503,Rawah,7202
3346,51,13,216,146,2910,226,211,117,446,Commanche,7756
2931,71,15,218,46,3483,236,210,102,2941,Rawah,7745
3199,52,6,67,4,5577,223,227,140,918,Rawah,7101
2854,314,14,793,122,120,183,229,186,1533,Commanche,4703
2669,82,10,256,22,1201,235,222,118,371,Rawah,7202
3105,86,14,300,67,819,239,216,105,1725,Rawah,7745
3105,12,17,162,43,1112,200,203,136,162,Commanche,7700
2957,88,6,0,0,765,230,229,133,2496,Rawah,7745
3097,344,24,751,71,981,165,195,164,1484,Commanche,7700
2482,315,15,201,40,362,179,227,187,1909,Cache,2717
3008,9,15,85,4,4011,202,209,142,2437,Rawah,7700
3030,324,22,618,261,778,160,211,188,1445,Commanche,7757
3060,217,14,95,-15,859,205,252,181,1632,Rawah,7745
2677,82,19,247,150,872,242,203,83,858,Commanche,4758
3027,338,8,210,42,1057,202,228,165,1710,Commanche,7755
3217,116,18,67,17,4592,248,220,93,3726,Commanche,7201
2593,221,4,342,71,2501,215,244,166,569,Commanche,2703
3253,256,21,576,118,379,167,248,216,2254,Commanche,7757
3144,117,16,361,90,446,245,224,103,612,Commanche,7756
2727,328,28,170,53,1437,140,194,186,1527,Commanche,7700
2883,27,11,95,0,604,215,217,137,1440,Commanche,7756
2874,116,18,153,17,2379,248,220,94,564,Commanche,4758
3273,95,15,120,37,4484,243,217,99,1149,Rawah,7745
2934,72,10,430,70,3027,232,221,120,2416,Rawah,7745
2772,73,6,283,48,1718,228,228,134,424,Commanche,7755
2923,347,9,42,3,1482,204,226,161,1505,Commanche,7202
3437,185,14,495,81,2790,222,249,157,1637,Commanche,7756
2998,148,21,120,25,2744,242,233,110,1597,Commanche,7757
3054,235,11,797,20,6120,201,250,186,3356,Rawah,7745
3148,274,19,95,15,3937,167,242,212,1282,Commanche,7201
3176,202,9,242,27,1008,216,249,167,2070,Neota,7202
2976,68,15,150,-21,3870,234,210,104,1382,Rawah,7745
3318,305,4,684,145,792,209,237,167,454,Neota,7757
2858,328,11,60,0,3061,194,228,173,4056,Rawah,7202
3041,180,19,162,20,5843,223,248,149,2335,Rawah,7745
3114,339,14,268,56,4843,189,219,169,2938,Rawah,7746
3433,342,14,551,204,1044,189,217,166,1442,Neota,8776
3233,166,12,295,31,2616,230,244,143,1237,Commanche,7757
2688,106,18,323,8,1231,247,216,91,3655,Rawah,7745
2736,56,11,247,13,859,227,218,123,335,Commanche,4703
3297,155,14,488,74,2916,236,240,131,3332,Commanche,7757
2988,57,18,150,21,391,229,199,96,335,Commanche,7757
2861,64,21,120,48,840,234,192,81,2040,Commanche,7757
2516,112,24,170,16,1113,253,207,68,1020,Commanche,2705
2619,148,6,42,5,711,228,240,145,6021,Rawah,7745
2799,161,10,300,53,1784,230,243,143,3038,Rawah,4744
2972,196,15,285,53,5455,216,251,166,3056,Rawah,7745
2929,90,11,492,-2,4696,237,223,116,3200,Rawah,7202
2909,240,5,450,3,4500,210,244,172,4882,Rawah,3502
3231,51,12,404,17,3863,226,214,120,3124,Rawah,7202
2692,97,13,474,-42,1261,241,221,108,1323,Rawah,7202
2783,26,22,42,13,2311,204,188,112,799,Commanche,7202
2961,256,14,127,-16,2649,187,248,199,335,Commanche,7757
3161,35,15,42,0,2548,217,206,121,2846,Rawah,7202
2732,31,11,95,14,2249,217,217,134,6797,Rawah,4744
3190,46,34,446,77,825,208,145,0,1714,Rawah,7746
3275,9,14,1165,258,2190,204,212,144,2018,Commanche,8771
2694,119,6,366,86,543,230,235,138,85,Commanche,4703
3146,39,13,551,33,3690,220,211,123,3513,Rawah,7745
2798,260,21,218,59,1634,164,246,218,2281,Commanche,4758
2636,84,17,108,24,2315,242,209,92,1170,Commanche,4703
3270,132,7,258,27,5465,232,236,136,931,Rawah,7745
2985,238,14,691,79,5801,193,251,194,3836,Rawah,7745
2901,351,22,60,20,1260,175,197,156,1772,Commanche,7757
2937,29,6,30,1,1980,218,226,144,1630,Rawah,7202
3268,326,2,778,160,6087,215,237,160,2611,Rawah,7745
2658,39,9,150,-9,1814,221,219,133,1622,Commanche,4703
2505,352,7,30,5,408,208,228,158,1546,Cache,2717
2458,100,25,153,64,771,251,197,58,1230,Commanche,2705
2991,31,17,335,-19,3670,213,200,118,5756,Rawah,7745
3203,123,13,390,49,3128,241,230,116,1020,Commanche,7756
2757,324,9,0,0,2039,198,231,172,3304,Rawah,7102
2577,99,14,361,146,382,242,220,104,190,Commanche,2703
2889,88,18,408,93,993,244,209,88,633,Rawah,7746
2944,99,9,295,48,3421,235,228,123,1681,Rawah,7745
3364,287,6,301,25,1200,204,240,175,2219,Commanche,7756
3236,132,6,300,82,1423,231,237,139,2012,Rawah,7745
2900,352,5,295,64,3059,211,231,158,2197,Rawah,7745
2369,332,25,150,66,277,153,199,181,272,Cache,4703
2773,224,13,216,60,361,203,252,184,2166,Commanche,4703
3293,46,18,470,59,1530,223,199,104,2305,Rawah,8772
2770,23,12,618,4,1575,212,214,136,960,Rawah,7202
2931,51,22,256,90,4424,224,187,86,1054,Rawah,7745
2976,308,11,192,-49,636,190,233,183,1012,Commanche,7755
2850,189,32,190,78,1397,204,244,151,1919,Commanche,4758
3419,223,28,711,296,3267,172,252,204,2754,Rawah,8772
3070,77,24,270,-17,702,242,189,64,1777,Rawah,7745
3462,15,15,518,114,4138,205,207,136,3398,Commanche,8772
3077,49,5,408,48,1500,222,229,142,2888,Rawah,7202
2924,65,4,0,0,1374,223,231,143,3245,Rawah,7202
3024,101,12,30,-6,2142,241,223,110,3464,Commanche,7702
2337,114,20,134,50,1398,249,216,86,874,Cache,2704
2690,82,12,0,0,1471,236,219,113,730,Rawah,7202
2784,135,1,108,4,2688,221,238,153,2203,Rawah,7102
2610,71,11,323,54,698,232,219,118,2406,Rawah,4744
2481,223,35,360,84,300,156,247,207,953,Commanche,2703
3217,78,44,124,59,4802,231,122,0,1473,Rawah,7746
3075,142,16,108,23,497,241,235,118,730,Commanche,7700
2225,287,19,242,153,95,165,236,209,488,Cache,2703
2998,322,13,150,27,4370,186,226,180,301,Rawah,7745
2926,51,9,134,10,4974,225,220,128,1897,Rawah,7745
2806,21,3,162,15,2376,217,232,152,2242,Rawah,4744
2945,289,9,30,9,4795,196,239,183,6043,Rawah,7102
3292,106,21,430,97,295,250,210,79,564,Neota,7756
3181,41,28,324,119,1140,210,166,74,492,Rawah,7201
3148,16,20,891,93,2830,199,194,127,2375,Commanche,7700
3290,280,16,339,67,4235,174,240,205,1672,Commanche,8772
3007,57,7,330,30,4772,225,226,136,3596,Rawah,7745
3008,23,7,190,26,3007,216,225,145,6141,Rawah,7745
2663,251,16,42,9,1034,182,250,204,1707,Rawah,7746
3160,37,21,295,23,1436,214,190,103,95,Rawah,7201
2715,359,18,95,6,1250,191,204,149,1767,Commanche,7700
3070,23,8,607,36,6315,216,223,144,3154,Rawah,7745
3243,11,9,335,20,6027,211,222,148,1050,Rawah,7201
2479,64,12,67,16,30,231,215,114,300,Cache,2717
3373,288,6,234,23,1530,203,239,175,853,Commanche,8771
2838,72,12,342,109,1263,233,217,115,2777,Commanche,4704
3117,51,6,30,4,5362,223,227,139,3113,Rawah,7202
3110,72,2,300,44,2410,222,234,149,2491,Commanche,7756
2983,159,12,134,-11,2220,233,242,138,3193,Commanche,7702
3294,165,9,376,26,1237,228,243,147,1959,Rawah,7201
2962,108,9,150,4,3840,236,230,125,1320,Rawah,7746
2231,290,26,242,-43,408,138,225,223,594,Cache,4703
3081,267,12,90,15,5559,189,245,195,2368,Rawah,7202
2912,63,22,67,29,5610,233,188,76,1129,Rawah,7746
2500,309,10,60,8,339,193,234,180,573,Cache,4703
2685,58,26,30,3,1627,228,176,64,1183,Commanche,7757
2909,24,14,42,8,4878,212,209,131,1692,Rawah,7202
2922,58,7,446,-5,832,226,225,133,2322,Rawah,7202
2542,85,13,30,0,743,238,218,109,1065,Commanche,4704
2847,39,12,258,68,3346,220,213,126,785,Commanche,7756
2797,198,13,234,85,531,216,251,167,2105,Commanche,2705
2774,45,2,285,39,1650,220,234,151,2579,Rawah,4744
3269,307,26,319,72,408,141,215,210,725,Neota,7757
2800,134,15,60,-5,1230,242,232,115,1652,Commanche,4703
2798,63,1,150,2,2340,220,236,153,1602,Rawah,4744
2450,90,9,175,32,789,233,227,125,1149,Cache,2717
3004,38,27,30,2,5066,209,172,84,2831,Rawah,7745
2932,0,11,42,6,3571,204,220,153,6269,Rawah,6101
2634,40,21,67,-2,1988,216,189,99,930,Commanche,4703
3277,229,14,446,54,2970,198,252,190,3061,Commanche,7756
3257,155,17,395,55,2679,238,239,125,1188,Commanche,7757
3410,47,9,190,1,3953,224,220,130,2908,Commanche,8772
3245,98,8,360,-19,899,234,228,126,3029,Neota,7202
3023,315,0,67,1,3405,217,237,157,95,Rawah,7101
2814,87,9,216,57,1072,234,225,123,469,Commanche,7756
3258,272,15,120,28,4440,179,243,203,1560,Commanche,8772
3209,259,4,212,25,541,211,241,169,1503,Commanche,7755
2223,330,35,285,146,382,117,174,183,700,Cache,4703
3118,19,10,361,37,488,213,219,142,1574,Rawah,7201
2990,318,6,124,1,693,204,235,169,1416,Neota,7202
2940,328,10,0,0,1682,195,228,172,474,Commanche,7101
3185,298,15,124,20,4870,178,234,196,1312,Rawah,7745
3268,97,6,170,8,6183,229,232,137,268,Rawah,7201
2761,126,20,85,46,2040,249,222,91,742,Commanche,4758
3429,72,23,604,144,2074,239,188,68,1611,Rawah,8776
3272,48,7,67,7,6096,223,225,138,408,Rawah,8771
3244,65,9,242,39,2976,229,222,126,4837,Rawah,8776
3022,324,14,532,252,847,184,224,179,1392,Commanche,7755
2857,350,24,319,132,3216,169,192,156,1584,Rawah,7745
2929,246,10,361,13,5575,199,248,187,3707,Rawah,7202
3034,207,11,306,148,6110,213,250,171,4897,Rawah,7746
3041,139,4,150,-29,1528,227,238,146,870,Rawah,7202
3271,110,21,319,110,1681,251,211,78,2770,Rawah,7746
3023,291,18,120,6,339,168,235,205,1693,Commanche,7700
2682,101,15,30,7,1434,243,219,101,1423,Commanche,4703
3160,56,13,120,7,4243,228,213,116,3442,Rawah,7201
2971,14,9,309,8,1463,212,222,147,1809,Rawah,7201
3339,352,13,362,91,3056,198,218,158,2254,Commanche,8771
2022,70,27,182,13,201,237,175,51,201,Cache,2717
2793,175,11,258,57,1140,226,246,151,537,Commanche,7790
2876,31,15,418,81,3166,215,206,124,1211,Commanche,7756
2955,144,14,283,39,5150,239,236,123,4465,Rawah,7746
2946,131,26,283,124,2312,251,215,75,1806,Commanche,4758
2730,19,16,30,8,2678,206,203,131,2482,Rawah,6101
2881,248,9,90,16,2132,200,247,185,1338,Commanche,7202
2914,288,24,255,101,4789,146,230,220,390,Rawah,7745
2669,66,5,150,12,190,225,230,141,955,Commanche,4704
2606,94,14,30,0,1492,241,218,103,228,Commanche,4703
3207,0,6,150,-15,4065,212,229,155,1276,Rawah,7201
3110,90,7,300,-4,4334,231,229,132,1572,Rawah,7201
2823,202,26,339,191,1680,198,252,175,1329,Commanche,2705
2781,133,24,218,114,3120,250,221,85,6180,Rawah,7746
3174,357,19,824,-1,1279,186,201,150,1611,Commanche,7757
2890,24,8,351,20,4039,216,222,143,6447,Rawah,7102
2576,69,11,240,26,417,232,218,116,1293,Rawah,4201
2846,161,9,240,30,3065,229,242,145,2704,Rawah,4744
3139,81,10,108,7,3789,234,222,118,150,Commanche,7757
2870,356,20,124,38,2188,183,199,150,808,Commanche,7757
3366,347,17,541,28,5039,186,211,162,3094,Commanche,8771
3129,91,27,390,115,3263,249,186,48,1790,Commanche,7757
2795,56,34,268,100,1765,220,149,37,900,Commanche,7757
2931,70,7,309,3,886,228,226,132,2312,Rawah,7202
2914,359,12,607,148,2334,202,219,153,658,Commanche,4704
3020,280,11,408,14,2821,191,241,190,216,Rawah,7201
3076,72,9,210,26,1324,231,223,125,2182,Rawah,7745
2454,341,16,30,8,484,184,214,168,874,Commanche,7757
2896,219,15,510,96,2486,202,253,184,1873,Commanche,7702
2682,25,5,90,6,1813,218,229,148,5428,Rawah,7745
3155,144,6,379,55,5359,230,239,143,365,Rawah,7745
3018,68,8,309,53,420,228,225,130,1170,Rawah,7202
3224,64,21,391,90,808,234,194,82,5352,Neota,7201
3351,152,21,953,235,2701,241,235,113,2308,Commanche,7757
2813,144,11,569,41,2062,236,238,132,1866,Commanche,6102
3256,97,12,218,15,3042,239,223,112,1348,Commanche,7756
3243,258,17,666,142,6079,178,248,207,2582,Rawah,7746
2757,36,18,573,9,1634,216,198,112,2203,Rawah,7746
2760,172,11,0,0,2554,228,245,148,1776,Rawah,7102
3281,162,25,228,97,1753,235,236,116,424,Commanche,8772
2776,5,29,391,-10,3062,171,172,127,2471,Commanche,4703
2374,270,3,457,206,1448,212,240,166,726,Cache,2717
3192,173,33,361,112,3427,221,235,120,930,Commanche,7757
3168,45,15,256,26,3025,223,206,113,4475,Rawah,7202
2776,217,10,342,29,4039,210,250,175,1842,Commanche,7702
2678,118,12,360,-4,755,241,229,116,1660,Rawah,7746
2562,9,16,90,11,1492,200,206,140,1421,Commanche,4703
3139,47,12,361,32,5664,224,214,122,900,Rawah,7745
2599,10,7,524,-40,679,213,227,151,750,Commanche,6102
2220,342,39,120,65,1364,114,152,159,1195,Cache,4703
3067,124,12,400,68,5359,240,231,119,3321,Rawah,7746
3182,29,21,560,184,4637,208,191,112,2388,Rawah,7745
3227,301,23,67,13,2969,150,223,210,2393,Rawah,7745
2776,70,6,524,16,1510,226,229,137,1024,Rawah,4744
3122,74,22,162,31,5142,240,193,73,1442,Rawah,7745
2781,342,10,134,12,3191,200,226,164,3009,Rawah,7745
3034,195,11,576,67,4637,218,250,165,1390,Rawah,7745
3001,337,12,182,23,5011,195,224,168,5981,Rawah,4744
3345,193,21,323,65,4489,213,251,163,2881,Commanche,7757
2990,6,9,616,257,3414,209,222,151,1266,Rawah,4744
3054,183,13,430,56,5731,223,248,156,1768,Rawah,7745
2966,26,6,153,20,1718,217,227,146,1976,Commanche,7756
3203,188,10,30,-7,5055,221,248,160,309,Rawah,8771
2655,117,17,134,26,2429,247,222,98,2382,Commanche,4703
3080,122,16,153,-12,1195,245,226,104,1087,Rawah,7745
2666,64,15,426,49,720,233,208,104,900,Rawah,7745
2906,129,18,108,16,4377,247,226,101,6227,Rawah,7745
3021,27,18,488,108,4455,210,199,120,4307,Rawah,7745
3330,284,18,247,54,5417,168,237,208,900,Rawah,8771
3238,104,4,201,4,3502,226,234,143,1834,Rawah,8771
3115,238,15,150,50,2430,193,252,195,858,Commanche,7756
2494,107,5,0,0,698,229,234,139,5641,Rawah,6101
3226,172,2,488,82,732,220,239,156,497,Commanche,7756
